,A,B,P,DA,MA,MC,PA,SC,SK,Age_range,Playable,Sexualization,Romantic_Interest,Is_Female
430,0,0,1,0,0,1,0,0,0,0,0,0,0.0,1
431,0,1,0,0,0,0,0,1,0,0,0,0,0.0,0
432,0,0,1,0,0,0,1,0,0,0,1,0,0.0,0
433,0,0,1,1,0,0,0,0,0,0,1,0,0.0,0
434,0,0,1,0,0,0,0,0,1,5,0,0,0.0,1
435,0,1,0,0,0,0,1,0,0,5,1,0,0.0,0
436,1,0,0,0,1,0,0,0,0,0,0,0,0.0,0
437,0,0,1,0,0,0,0,1,0,5,0,0,0.0,1
438,0,0,1,0,0,0,0,1,0,0,0,0,0.0,1
439,1,0,0,0,0,1,0,0,0,0,0,0,0.0,0
440,0,0,1,0,0,0,0,0,1,0,0,0,0.0,1
441,0,1,0,0,0,1,0,0,0,0,1,0,0.5,1
442,0,1,0,0,0,1,0,0,0,0,1,0,0.0,0
443,0,1,0,0,0,1,0,0,0,0,1,0,0.0,0
444,0,1,0,0,0,1,0,0,0,7,0,0,0.0,0
445,0,1,0,0,0,1,0,0,0,0,0,0,0.5,1
446,0,1,0,0,0,0,0,1,0,0,0,0,0.0,0
447,0,1,0,0,0,0,0,1,0,0,0,0,0.0,0
448,0,1,0,0,0,0,0,1,0,5,0,0,0.0,1
449,1,0,0,0,1,0,0,0,0,0,0,0,0.0,0
450,0,0,1,0,0,0,1,0,0,3,1,0,0.0,1
451,0,0,1,0,0,1,0,0,0,7,0,0,0.0,1
452,0,0,1,0,0,1,0,0,0,0,0,0,0.0,1
453,0,0,1,0,0,1,0,0,0,0,0,0,0.0,0
454,0,0,1,0,0,1,0,0,0,2,0,0,0.0,1
455,0,0,1,0,0,1,0,0,0,3,0,0,0.0,1
456,0,0,1,0,0,0,0,1,0,5,0,0,0.0,0
457,0,0,1,0,0,1,0,0,0,0,0,0,0.0,0
458,0,0,1,0,0,1,0,0,0,2,0,0,0.0,0
459,0,0,1,0,0,0,0,1,0,2,0,0,0.0,0
460,0,0,1,0,0,1,0,0,0,5,0,0,0.0,0
461,0,0,1,0,0,1,0,0,0,2,0,0,0.0,0
462,0,0,1,0,0,1,0,0,0,0,0,0,0.0,0
463,0,0,1,0,0,0,0,1,0,0,0,0,0.0,1
464,0,0,1,0,0,1,0,0,0,0,0,0,0.0,0
465,0,0,1,0,0,1,0,0,0,2,0,0,0.0,0
466,0,0,1,0,0,0,0,1,0,0,0,0,0.0,0
467,0,0,1,0,0,0,1,0,0,0,1,0,0.0,1
468,0,1,0,0,0,1,0,0,0,7,0,0,0.0,1
469,0,0,1,0,0,1,0,0,0,5,0,0,0.0,0
470,0,1,0,0,1,0,0,0,0,0,1,0,0.0,1
471,0,1,0,0,0,0,0,1,0,7,0,0,0.0,0
472,0,0,1,0,0,1,0,0,0,0,0,0,0.0,0
473,1,0,0,0,1,0,0,0,0,0,0,0,0.0,0
474,0,0,1,0,0,0,0,1,0,0,0,0,0.0,1
475,0,0,1,0,0,0,0,1,0,0,0,0,0.0,0
476,1,0,0,0,0,1,0,0,0,0,0,0,0.0,0
477,0,1,0,0,0,1,0,0,0,0,0,0,0.0,1
478,1,0,0,0,1,0,0,0,0,0,0,0,0.0,1
479,0,0,1,0,0,0,0,1,0,0,0,0,0.0,0
480,0,0,1,0,0,0,0,1,0,0,0,0,0.0,0
481,0,0,1,0,0,0,0,1,0,0,0,0,0.0,1
482,0,0,1,0,0,0,0,1,0,0,0,0,0.0,1
483,0,0,1,0,0,1,0,0,0,0,0,0,0.0,0
484,0,0,1,0,0,0,0,1,0,0,0,0,0.0,1
485,0,0,1,0,0,0,0,1,0,0,0,0,0.0,0
486,0,0,1,0,0,0,0,1,0,0,0,0,0.0,0
487,0,0,1,0,0,0,0,1,0,0,0,0,0.0,0
488,0,0,1,0,0,0,0,1,0,0,0,0,0.0,1
489,0,0,1,0,0,0,0,1,0,0,0,0,0.0,0
490,0,0,1,0,0,0,1,0,0,0,1,0,0.0,1
491,0,0,1,0,0,1,0,0,0,0,0,0,0.0,1
492,0,0,1,0,0,1,0,0,0,0,0,0,0.0,0
493,0,0,1,0,0,1,0,0,0,0,0,0,0.0,0
494,0,0,1,0,0,0,0,1,0,0,0,0,0.0,1
495,0,0,1,0,0,0,0,1,0,0,0,0,0.0,0
496,0,0,1,0,0,0,0,1,0,0,0,0,0.0,1
497,0,0,1,0,0,0,1,0,0,0,1,2,0.0,1
498,0,0,1,0,0,1,0,0,0,0,0,0,0.0,0
499,0,0,1,0,0,1,0,0,0,0,0,2,0.0,1
500,1,0,0,0,0,1,0,0,0,0,0,0,0.0,0
501,1,0,0,0,0,1,0,0,0,0,0,0,0.0,0
502,1,0,0,0,0,1,0,0,0,0,0,0,0.0,0
503,0,0,1,0,0,0,0,1,0,0,0,0,0.0,0
504,0,0,1,0,0,1,0,0,0,0,0,0,0.0,0
505,1,0,0,0,0,1,0,0,0,0,0,0,0.0,0
506,0,0,1,0,0,0,0,1,0,0,0,0,0.0,1
507,1,0,0,0,1,0,0,0,0,0,0,0,0.0,0
508,0,0,1,0,0,0,1,0,0,3,1,0,0.0,1
509,0,0,1,0,0,0,0,1,0,7,0,0,0.0,1
510,0,0,1,0,0,0,0,1,0,0,0,0,0.0,1
511,0,0,1,0,0,0,0,1,0,3,0,0,0.0,0
512,0,0,1,0,0,0,0,1,0,3,0,0,0.0,1
513,0,0,1,0,0,0,0,1,0,5,0,0,0.0,0
514,0,0,1,0,0,0,0,1,0,7,0,0,0.0,0
515,0,0,1,0,0,0,0,1,0,5,0,0,0.0,1
516,0,0,1,0,0,0,0,1,0,5,0,0,0.0,0
517,0,0,1,0,0,0,0,1,0,5,0,0,0.0,0
518,0,0,1,0,0,0,1,0,0,3,1,0,0.0,0
519,0,0,1,0,0,1,0,0,0,5,0,0,0.0,1
520,1,0,0,0,1,0,0,0,0,0,0,0,0.0,0
521,0,0,1,0,0,0,0,1,0,0,0,0,0.0,0
522,0,0,1,0,0,1,0,0,0,5,0,0,0.0,0
523,0,0,1,0,0,0,0,1,0,2,0,0,0.0,1
524,0,0,1,0,0,0,1,0,0,5,1,0,0.0,0
525,0,0,1,0,0,1,0,0,0,5,0,0,0.0,1
526,0,0,1,0,0,1,0,0,0,5,0,0,0.0,0
527,0,0,1,0,0,1,0,0,0,5,0,0,0.0,0
528,0,0,1,0,0,1,0,0,0,5,0,0,0.0,0
529,0,0,1,0,0,1,0,0,0,7,0,0,0.0,0
530,0,0,1,0,0,0,0,1,0,2,0,0,0.0,0
531,0,0,1,0,0,0,0,1,0,7,0,0,0.0,0
532,1,0,0,0,1,0,0,0,0,0,0,0,0.0,0
533,0,0,1,0,0,0,1,0,0,0,1,0,0.0,1
534,0,0,1,0,0,1,0,0,0,0,0,0,0.0,1
535,0,0,1,0,0,1,0,0,0,0,0,0,0.0,1
536,0,0,1,0,0,0,0,1,0,0,0,0,0.0,0
537,1,0,0,0,0,0,0,1,0,0,0,0,0.0,0
538,0,0,1,0,0,0,1,0,0,2,1,0,0.0,0
539,0,0,1,0,0,1,0,0,0,7,0,0,0.0,0
540,0,0,1,0,0,0,0,0,1,0,0,0,0.0,0
541,0,0,1,0,0,1,0,0,0,5,0,0,0.0,0
542,0,0,1,0,0,1,0,0,0,0,0,0,0.0,0
543,1,0,0,0,0,1,0,0,0,0,0,0,0.0,0
544,1,0,0,0,1,0,0,0,0,0,0,0,0.0,0
545,1,0,0,0,0,1,0,0,0,0,0,0,0.0,0
546,0,0,1,0,0,0,0,0,1,0,0,0,0.0,1
547,1,0,0,0,1,0,0,0,0,0,0,0,0.0,1
548,1,0,0,0,0,1,0,0,0,0,0,0,0.0,0
549,1,0,0,0,0,0,0,1,0,0,0,0,0.0,0
550,0,0,1,0,0,0,1,0,0,2,1,0,0.0,0
551,1,0,0,0,1,0,0,0,0,5,0,0,0.0,1
552,0,0,1,0,0,1,0,0,0,2,1,0,0.0,1
553,0,0,1,0,0,1,0,0,0,2,1,0,0.0,0
554,0,0,1,0,0,1,0,0,0,2,1,0,0.0,0
555,0,0,1,0,0,1,0,0,0,2,1,0,0.0,0
556,0,0,1,0,0,0,0,1,0,2,1,0,0.0,1
557,0,0,1,0,0,0,0,1,0,2,1,0,0.0,0
558,0,0,1,0,0,0,0,1,0,2,1,0,0.0,0
559,0,0,1,0,0,0,0,1,0,2,1,0,0.0,0
560,0,0,1,0,0,0,1,0,0,3,1,0,0.0,1
561,0,0,1,0,0,1,0,0,0,0,0,0,0.0,0
562,0,0,1,0,0,0,0,0,1,0,1,0,0.0,0
563,0,0,1,0,0,1,0,0,0,0,0,0,0.0,1
564,0,0,1,0,0,0,0,1,0,0,1,0,0.0,1
565,0,0,1,0,0,0,0,1,0,2,1,0,0.0,0
566,0,1,0,0,0,1,0,0,0,0,1,0,0.0,1
567,0,0,1,0,0,0,0,1,0,0,1,0,0.0,0
568,0,0,1,0,0,0,0,1,0,5,1,0,0.0,0
569,1,0,0,0,0,0,0,1,0,5,0,0,0.0,1
570,1,0,0,0,1,0,0,0,0,0,0,0,0.0,1
571,0,0,1,0,0,0,0,1,0,0,1,0,0.0,0
572,0,0,1,0,0,0,0,1,0,3,1,0,0.0,1
573,0,0,1,0,0,0,1,0,0,5,1,0,0.0,1
574,0,0,1,1,0,0,0,0,0,5,0,0,1.0,0
575,0,0,1,0,0,0,1,0,0,3,1,0,0.0,0
576,1,0,0,0,1,0,0,0,0,5,0,0,0.0,0
577,0,0,1,0,0,1,0,0,0,0,0,0,0.0,1
578,1,0,0,0,0,0,0,1,0,0,0,0,0.0,0
579,0,0,1,0,0,0,0,1,0,5,0,0,0.0,0
580,0,0,1,0,0,0,0,0,1,3,0,0,0.0,0
581,0,1,0,0,0,1,0,0,0,0,0,0,0.0,0
582,0,0,1,0,0,1,0,0,0,0,0,0,0.0,1
583,0,0,1,0,0,0,0,1,0,5,0,0,0.0,1
584,0,0,1,0,0,0,0,1,0,0,0,0,0.0,1
585,1,0,0,0,0,0,0,1,0,5,0,0,0.0,0
586,0,1,0,0,0,1,0,0,0,3,0,0,0.0,1
587,0,0,1,0,0,0,1,0,0,3,1,0,0.0,1
588,1,0,0,0,1,0,0,0,0,0,0,0,0.0,0
589,0,0,1,0,0,1,0,0,0,7,0,0,0.0,0
590,0,0,1,0,0,0,0,1,0,1,0,0,0.0,1
591,0,0,1,0,0,0,0,1,0,1,0,0,0.0,0
592,0,0,1,0,0,0,0,1,0,2,0,0,0.0,0
593,0,0,1,0,0,0,0,1,0,5,0,0,0.0,0
594,0,0,1,0,0,0,0,1,0,5,0,0,0.0,1
595,0,0,1,0,0,0,0,1,0,5,0,0,0.0,1
